Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-05 00:00:00+05:30,774.4000244140625,776.9000244140625,763.7000122070312,772.2999877929688,38887657,0.0,0.0
2026-05-06 00:00:00+05:30,775.1500244140625,798.9500122070312,773.5,796.5499877929688,35530831,0.0,0.0
2026-05-07 00:00:00+05:30,794.0,801.5499877929688,788.5499877929688,796.0499877929688,46137553,0.0,0.0
2026-05-08 00:00:00+05:30,784.0,788.75,777.2000122070312,780.8499755859375,38016841,0.0,0.0
2026-05-11 00:00:00+05:30,771.9500122070312,774.8499755859375,761.9000244140625,763.6500244140625,41123422,0.0,0.0
2026-05-12 00:00:00+05:30,756.5999755859375,759.7000122070312,747.7999877929688,750.4500122070312,43937132,0.0,0.0
2026-05-13 00:00:00+05:30,752.0,759.9500122070312,747.3499755859375,749.5999755859375,28960919,0.0,0.0
2026-05-14 00:00:00+05:30,751.0,778.2999877929688,747.0,769.5499877929688,50992358,0.0,0.0
2026-05-15 00:00:00+05:30,773.0,781.9000244140625,765.4000244140625,767.5,24347873,0.0,0.0
2026-05-18 00:00:00+05:30,759.0,774.0999755859375,751.3499755859375,768.6500244140625,29812079,0.0,0.0
2026-05-19 00:00:00+05:30,766.7000122070312,770.7999877929688,760.25,762.4500122070312,40307830,0.0,0.0
2026-05-20 00:00:00+05:30,759.5999755859375,762.25,755.1500244140625,759.5,24013451,0.0,0.0
2026-05-21 00:00:00+05:30,767.0,768.25,755.1500244140625,759.1500244140625,34664725,0.0,0.0
2026-05-22 00:00:00+05:30,759.1500244140625,775.0,759.1500244140625,766.7999877929688,25604071,0.0,0.0
2026-05-25 00:00:00+05:30,776.0,787.8499755859375,775.2000122070312,786.8499755859375,26043952,0.0,0.0
2026-05-26 00:00:00+05:30,784.0499877929688,790.8499755859375,776.75,778.9000244140625,31528062,0.0,0.0
2026-05-27 00:00:00+05:30,769.5,773.9000244140625,756.9000244140625,758.6500244140625,63680153,0.0,0.0
2026-05-28 00:00:00+05:30,758.6500244140625,758.6500244140625,758.6500244140625,758.6500244140625,0,0.0,0.0
2026-05-29 00:00:00+05:30,746.0499877929688,760.5,737.75,744.5499877929688,101299431,0.0,0.0
2026-06-01 00:00:00+05:30,749.0,752.3499755859375,739.2000122070312,742.7000122070312,47996441,0.0,0.0
2026-06-02 00:00:00+05:30,737.0,753.5999755859375,733.1500244140625,748.25,47314447,0.0,0.0
2026-06-03 00:00:00+05:30,744.4500122070312,756.9000244140625,742.5999755859375,753.6500244140625,36109480,0.0,0.0
2026-06-04 00:00:00+05:30,749.1500244140625,757.2999877929688,745.0,754.2000122070312,42673538,0.0,0.0
2026-06-05 00:00:00+05:30,753.9500122070312,758.7000122070312,744.6500244140625,747.0499877929688,22116568,0.0,0.0
